agent_id,admin_approved,isv_id,asset_type,by_persona,by_value,agent_name,demo_link,description,features,roi,tags,demo_preview
agent_001,yes,isv_001,Solution,Executives (CXO),Productivity,Earnings Analyst,https://earningsanalyst.tngrm.ai/,"The AI Earnings Assistant is an intelligent copilot designed for CFOs and financial leaders to streamline earnings analysis, reporting, and strategic decision-making, 
Key MVP features include AI-driven earnings summaries, variance and driver analysis, conversational Q&A for financial queries, simple what-if scenario modeling, and auto-generated board deck drafts, 

The platform leverages a robust CFO intelligence layer built on structured financial ratios and KPIs—covering profitability, efficiency, capital adequacy, asset quality, liquidity, and valuation—to support explainable AI insights, scenario simulations, and peer comparisons, 
With secure chat-based interaction, integration with internal and external data, and forward-looking planning capabilities, the Earnings Analyst Copilot empowers CFOs, FP&A heads, and investor relations teams to save time, reduce errors, and make data-driven strategic decisions,","Generates AI-driven earnings summaries and variance breakdowns,

Answers CFO financial queries through natural language Q&A,

Performs what-if scenario modeling for profitability and liquidity,

Auto-creates board decks with insights and visual narratives,

Compares performance with peers using structured KPI benchmarks,

Integrates internal and external data for unified analysis,

Delivers explainable AI insights across financial ratios and metrics,

Enables secure, role-based collaboration for CFO and FP&A teams,","Increased analysis efficiency by 70%, 

Reduced manual reporting workload by 60%, 

Improved decision accuracy by 65%, 

Accelerated board preparation by 50%, 

Delivered measurable ROI within 2 months,","Finance, CFO Tools, Analytics, AI Assistant, FP&A, Reporting Automation","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ear1,jpeg,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ear2,jpeg,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ear3,jpeg,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ear4,jpeg,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ear5,jpeg,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ear6,mp4"
agent_002,yes,isv_001,Solution,Technology Teams,Productivity,Code Assist,https://codeassist.tngrm.ai/,"The CodeAssist App is an intelligent coding companion that seamlessly connects to your data sources, automatically understands your database schema, and generates clear descriptions of your tables and fields, 
By combining schema awareness with natural language processing (NLP), it enables developers to simply describe the logic they want, and the app translates it into precise SQL queries,
Whether you need quick insights, complex joins, or performance-optimized queries, CodeAssist bridges the gap between plain English and structured SQL, accelerating development and reducing the need for manual query writing,","Automatically detects and maps database schemas for instant understanding,

Generates natural-language explanations for tables, columns, and relationships,

Translates plain English logic into accurate, production-ready SQL queries,

Handles both simple queries and advanced joins with contextual awareness,

Optimizes query performance and ensures syntax compatibility across SQL dialects,

Integrates securely with multiple data sources and warehouses,

Provides schema-level insights to help developers understand complex datasets,

Streamlines data exploration through conversational query building,","Reduced query creation time by 75%, 

Improved developer productivity by 60%, 

Minimized SQL syntax errors by 70%, 

Increased data exploration speed by 65%, 

Delivered measurable ROI within 1,5 months,","Developer Tools, Data Engineering, Code Generation, SQL Automation, AI Assistant, Productivity","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cod1a,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cod2,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cod3,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cod4,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cod5,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cod6,png"
agent_003,yes,isv_001,Agent,Relationship Managers,Productivity,KYC Genie,https://kycgenie.tngrm.ai/,"The KYC Genie is an AI-powered assistant that simplifies customer onboarding and engagement by accepting KYC documents and bank statements, extracting key information, and building a detailed customer profile, 
Using advanced data extraction and AI reasoning, it analyzes income patterns, spending habits, risk tolerance, and eligibility signals to generate personalized recommendations of the bank’s products, 
From loans and credit cards to savings and investment options, KYC Genie ensures every suggestion is backed by contextual insights—helping banks offer the right product to the right customer, while streamlining compliance and enhancing customer trust,","Accepts KYC documents and bank statements for automated data extraction,

Builds comprehensive customer profiles with verified financial attributes,

Analyzes income, spending patterns, and financial behavior using AI reasoning,

Assesses risk tolerance and eligibility for credit, loans, and investment products,

Generates personalized product recommendations backed by contextual insights,

Streamlines regulatory compliance and reduces manual document review,

Integrates seamlessly with existing banking and CRM systems,

Enhances customer experience through faster onboarding and transparent insights,","Reduced onboarding time by 70%, 

Improved compliance accuracy by 65%, 

Increased cross-sell conversions by 40%, 

Lowered document review costs by 55%, 

Enhanced customer trust and retention by 30%, 

Delivered ROI within 2 months,","Banking, Compliance, Customer Intelligence, KYC Automation, AI Assistant, FinTech","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/kyc1,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/kyc2,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/kyc3,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/kyc4,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/kyc5,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/kyc6,png"
agent_004,yes,isv_001,Solution,Executives (CXO),Productivity,CXO Conceirge,https://cxoconcierge.tngrm.ai/auth/signin,"Boardroom-ready intelligence, No dashboards, no noise — just the answers that mater,
The CXO Intelligence Suite is a GenAI-powered layer that gives senior leaders instant, voice-enabled access to key insights and recommendations — no dashboards, no BI delays, From revenue gaps to growth levers, CXOs get answers in seconds, not weeks","Conversational Intelligence: Provides instant, voice-enabled access to enterprise insights via GenAI,

Dashboard-Free Insights: Delivers direct, contextual answers without the need for dashboards or manual reports,

KPI Discovery: Identifies key business metrics such as revenue gaps and growth levers in seconds,

Unified Data Layer: Synthesizes information from multiple systems into coherent, executive-ready summaries,

Contextual Q&A: Enables CXOs to drill into specific metrics using natural language questions,

BI Independence: Reduces dependency on data teams and static BI dashboards,

Secure Access: Offers encrypted, role-based access for leadership-level decision-making,

Adaptive Learning: Improves response accuracy through continuous usage and feedback,","Reduced insight turnaround time by 80%, 

Improved decision-making speed by 60%, 

Decreased BI dependency by 50%, 

Enhanced executive productivity by 45%, 

Delivered measurable ROI within 6 weeks,","Executive Intelligence, GenAI, Analytics, Decision Support, AI Assistant, Enterprise Productivity","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cxo1,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/cxo2,JPG"
agent_005,yes,isv_001,Solution,End Customers,Customer Experience,Travel AI,https://google-travel-dev.vercel.app/user?id=73,"The Travel Solution transforms vague travel wishes into real, bookable journeys, Using spend patterns, preferences, and real-time signals, it recommends destinations, builds full itineraries, and connects the dots across merchants, offers, and transactions,","Intent Understanding: Converts vague or conversational travel inputs into actionable plans,

Personalized Recommendations: Suggests destinations based on user preferences and spend patterns,

Dynamic Itinerary Builder: Creates complete travel plans including flights, hotels, and activities,

Merchant Integration: Connects offers and transactions across partnered merchants,

Real-Time Adaptation: Adjusts itineraries based on live events, pricing, and availability,

Smart Budgeting: Optimizes travel choices based on cost, convenience, and preferences,

Omnichannel Experience: Provides seamless booking through web, mobile, or chat interfaces,","Reduced travel planning time by 65%, 

Increased booking conversion rate by 45%, 

Improved traveler satisfaction by 50%, 

Enhanced cross-sell of partner offers by 35%, 

Delivered measurable ROI within 2 months,","Travel, Customer Experience, Personalization, AI Assistant, Commerce Intelligence, Automation","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm1,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm2,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm3,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm4,mp4"
agent_006,yes,isv_001,Solution,End Customers,Customer Experience,Personal Finance Assistant,https://personalfinance.tngrm.ai/,"A smart personal finance assistant that helps users manage money with ease—offering quick access to service requests, intelligent nudges for budgeting, transaction search, spend analysis, and personalized financial product recommendations, It not only simplifies daily banking but also drives smarter decisions with tailored credit, savings, insurance, and investment suggestions,","Unified Money Management: Centralizes banking, credit, and savings information in one intelligent dashboard,

Smart Budgeting: Provides real-time nudges and insights to help users stay within spending goals,

Transaction Intelligence: Enables instant search and categorization of past transactions,

Spend Analysis: Visualizes spending patterns and identifies opportunities for saving,

Personalized Recommendations: Suggests suitable credit cards, loans, and investment options,

Goal Tracking: Helps users set and monitor financial goals across categories,

Service Request Automation: Simplifies everyday banking tasks through conversational requests,

Security Layer: Protects sensitive data with encrypted, compliance-grade infrastructure,","Increased user engagement by 55%, 

Reduced service request handling time by 60%, 

Improved financial literacy and decision confidence by 50%, 

Enhanced cross-sell and product uptake by 45%, 

Delivered measurable ROI within 2 months,","Finance, Personal Banking, FinTech, AI Assistant, Customer Experience, Wealth Management","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm1,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm2,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm3,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/pfm4,mp4"
agent_007,yes,isv_001,Agent,Operations Teams,Productivity,Image Data Extraction Assistant,https://nawaz-crayondata.github.io/ai-document-analysis-assistant/,"The OCR & Document/Image Validation solution for automates merchant onboarding by leveraging OCR and computer vision to validate documents and images efficiently, 

It processes merchant form scans, signboard photos, EDC device images, and SIM card photos, extracting key data such as merchant names, device counts, serial numbers, and SIM numbers, 

The system cross-checks these details against form entries, detects discrepancies, and outputs pass/fail results with detailed reason codes, 
By replacing manual verification, this AI-driven pipeline reduces errors, accelerates onboarding, mitigates fraud, and ensures regulatory compliance,","Automated Data Extraction: Uses OCR to read and digitize information from scanned forms, photos, and IDs,

Computer Vision Validation: Verifies images such as signboards, EDC devices, and SIM cards for authenticity and accuracy,

Entity Cross-Verification: Matches extracted data (merchant names, device serials, SIM numbers) against submitted forms,

Discrepancy Detection: Flags mismatches and anomalies with detailed reason codes,

Pass/Fail Classification: Generates validation outcomes with structured audit logs,

Fraud Mitigation: Identifies potential tampering or mismatched merchant details automatically,

Compliance Assurance: Ensures adherence to KYC, AML, and internal audit standards,

End-to-End Automation: Eliminates manual verification to accelerate merchant onboarding,","Increased onboarding speed by 70%,

Reduced manual verification effort by 65%,

Improved data validation accuracy by 75%,

Mitigated fraud and compliance risks by 50%,

Delivered measurable ROI within 6 weeks,

\n","OCR, Computer Vision, Document Verification, Compliance, Automation, AI Assistant, Merchant Onboarding","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/ide1,JPG"
agent_008,yes,isv_001,Solution,Relationship Managers,Productivity,Wealth RM Assistant,https://v0-wealth-rm.vercel.app/,"The AI Wealth RM Portal is a next-generation relationship manager assistant that delivers personalized, AI-powered investment recommendations tailored to client needs, 

By analyzing portfolios, market intelligence, and product performance, it highlights optimal allocation strategies with clear risk-return insights, 
Relationship managers can view recommended investments, assess potential returns, and access detailed fund information instantly, enabling faster, data-driven advisory conversations, 
The tool transforms wealth management from reactive to proactive, empowering RMs to deepen client trust, grow assets under management, and position the bank as an AI-first innovator in personalized financial services,","Portfolio Intelligence: Analyzes client portfolios, asset allocations, and product performance in real time,

Personalized Investment Recommendations: Suggests optimal fund mixes based on risk-return profiles and market conditions,

Market Insight Engine: Integrates live market data and research to identify emerging opportunities,

Client Advisory Dashboard: Empowers relationship managers with instant access to insights and product details,

Proactive Alerts: Notifies RMs of rebalancing opportunities and underperforming holdings,

Risk Assessment: Evaluates exposure across asset classes with contextual, explainable scoring,

AI-Driven Conversations: Supports client discussions with clear, data-backed rationale for every recommendation,

Performance Tracking: Monitors realized vs, projected returns for continuous advisory optimization,

Regulatory Alignment: Ensures recommendations comply with internal and external investment mandates,","Increased advisor productivity by 65%,

Improved investment recommendation accuracy by 60%,

Enhanced client trust and satisfaction by 55%,

Boosted assets under management by 45%,

Delivered measurable ROI within 2 months,

\n","Wealth Management, Investment Advisory, Banking, AI Assistant, Portfolio Analytics, Relationship Management","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/wea1,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/wea2,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/wea3,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/wea4,JPG"
agent_009,yes,isv_001,Solution,Operations Teams,Productivity,RFP Response Generator,https://tangram-ai-product-d-5ffy.bolt.host/,"An AI-powered proposal assistant that transforms RFQs into branded drafts in minutes—not days, Simply upload your tender document, and the system extracts requirements, maps them to the right technical, compliance, and safety content, and auto-generates a proposal using context from past wins,
Sales teams can refine content with natural language chat, ensure every product claim is backed by verifiable data, and instantly export to a branded PDF,
The result: faster responses, higher accuracy, less manual grind—and proposals that win more deals,","RFQ Parsing: Extracts key requirements, specifications, and deliverables from uploaded tender documents,

Automated Proposal Generation: Maps extracted data to pre-approved technical, compliance, and safety content libraries,

Contextual Knowledge Reuse: Leverages insights and templates from previous winning proposals for higher relevance,

Natural Language Editing: Allows sales teams to refine or rephrase sections conversationally through chat,

Data Verification Layer: Ensures every claim and metric is linked to a verifiable source or reference,

Branded Export: Produces professional, client-ready PDF proposals instantly with company branding,

Content Consistency Engine: Standardizes tone, format, and compliance language across all proposals,

Collaboration Workflow: Enables cross-functional teams to review, comment, and approve within the system,","Reduced proposal turnaround time by 75%,

Increased bid accuracy by 60%,

Improved win rate by 45%,

Reduced manual content creation effort by 65%,

Delivered measurable ROI within 6 weeks,

\n","Sales Automation, Proposal Management, AI Assistant, Document Generation, Compliance, Enterprise Productivity","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/rfp1,JPG,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/rfp2,JPG"
agent_010,yes,isv_001,Solution,Operations Teams,Productivity,AP Optimization,https://ap-optimization-agen-394w.bolt.host/,"An AI-powered accounts payable assistant that ingests invoices from email, uploads, or ERP connectors and classifies them automatically,
It runs a workflow-driven process: extracting fields, validating data, flagging anomalies, and generating follow-up drafts to suppliers or stakeholders when information is missing,
Once verified, the agent reconciles records, enriches with tax and payment details, and posts clean entries back into your ERP or accounting system,
The outcome: invoices processed in minutes, zero manual data entry, fully auditable trails, and finance teams free to focus on higher-value work,","Automated Invoice Ingestion: Captures invoices from emails, uploads, or ERP integrations,

Intelligent Classification: Categorizes invoices by vendor, department, or expense type automatically,

Field Extraction Engine: Extracts invoice details such as amounts, dates, tax IDs, and payment terms,

Validation & Anomaly Detection: Flags missing data, mismatches, or potential duplicates in real time,

Follow-Up Automation: Drafts supplier or stakeholder follow-up emails when clarification is needed,

Reconciliation Workflow: Matches invoices against purchase orders and payment records seamlessly,

Tax & Payment Enrichment: Automatically appends relevant GST, VAT, or TDS details before posting,

ERP Synchronization: Pushes verified entries directly into accounting systems for clean bookkeeping,

Audit-Ready Logging: Maintains complete traceability for every invoice and decision,","Reduced invoice processing time by 80%,

Lowered manual data entry workload by 70%,

Improved reconciliation accuracy by 65%,

Enhanced compliance and audit readiness by 55%,

Delivered measurable ROI within 6 weeks,

\n","Accounts Payable, Finance Automation, ERP Integration, Document Processing, AI Assistant, Workflow Intelligence","https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/apa1,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/apa2,png,https://raw,githubusercontent,com/vigneshgurumohan/demo_images/main/apa3,png"
